,layer,synapse_class,mean,std
0,1,EXC,,
1,1,INH,65.22556390977444,58.69691238347925
2,2,EXC,212.0040871934605,132.8717007950614
3,2,INH,136.928125,90.45515951907154
4,3,EXC,184.71317829457365,109.9396966012671
5,3,INH,111.41397849462365,73.63236375897945
6,4,EXC,201.32253886010363,135.25561124400667
7,4,INH,114.3896103896104,78.80706246247766
8,5,EXC,465.049008168028,251.06489140943657
9,5,INH,127.57177615571776,100.69110737255171
10,6,EXC,157.25443548387096,109.80322543842074
11,6,INH,104.84188911704312,72.4361337181164
