,synapse_class,layer,mean,std
0,EXC,2,59.60113250412817,74.9135157100274
1,EXC,3,77.37359349410234,107.63193249003888
2,EXC,4,78.92121721818857,140.61124889401964
3,EXC,5,237.80965127053756,369.00674266617693
4,EXC,6,91.53944908358983,199.95879293376612
5,INH,1,31.850715076693213,34.828340618246976
6,INH,2,39.89632838946151,51.88137646312535
7,INH,3,58.21031209645009,76.91866793257896
8,INH,4,74.94053690276615,86.18772546744938
9,INH,5,74.6969559022411,95.51630295872238
10,INH,6,72.15863744427115,102.45737649562184
