,synapse_class,layer,mean,std
0,EXC,2,101.3849452112185,74.94616746677585
1,EXC,3,132.026460867387,111.32162633964009
2,EXC,4,157.63119539887936,156.66662884482432
3,EXC,5,395.4782662462945,392.19995689460706
4,EXC,6,213.21601274962998,242.63189578632242
5,INH,1,57.90150166888599,47.57541695522225
6,INH,2,78.63537862523314,66.09079819696697
7,INH,3,111.61515708947672,89.64390476425541
8,INH,4,126.56901188436093,102.31360916442745
9,INH,5,119.23877905610152,96.44643947797964
10,INH,6,137.79745854149505,124.74152072715233
