,layer,synapse_class,mean,std
0,1,EXC,,
1,1,INH,119.17293233082707,82.9452641056041
2,2,EXC,229.69346049046322,94.34163959044787
3,2,INH,322.5125,159.349086927733
4,3,EXC,166.44379844961242,73.24770383845147
5,3,INH,316.6989247311828,145.37026611074154
6,4,EXC,172.76338514680484,81.76678191182636
7,4,INH,298.3766233766234,129.37300169513293
8,5,EXC,325.8451964216258,136.02046708571572
9,5,INH,295.57177615571777,152.49106037454996
10,6,EXC,106.5320564516129,57.58929852413346
11,6,INH,223.34702258726898,117.56509757169725
